Event ID,Chamber ID,# Hits,Energy [GeV],# Particles
1,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
1,ExternalDetectorEmbedder_Chamber_1SDet,0,0,0
1,ExternalDetectorEmbedder_Chamber_2SDet,18,8.8e-05,1
1,ExternalDetectorEmbedder_Chamber_3SDet,15,0.000159,1
1,ExternalDetectorEmbedder_Chamber_4SDet,12,0.000133,1
2,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
2,ExternalDetectorEmbedder_Chamber_1SDet,0,0,0
2,ExternalDetectorEmbedder_Chamber_2SDet,3,6.65e-05,1
2,ExternalDetectorEmbedder_Chamber_3SDet,29,0.000184,1
2,ExternalDetectorEmbedder_Chamber_4SDet,14,0.000175,1
3,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
3,ExternalDetectorEmbedder_Chamber_1SDet,0,0,0
3,ExternalDetectorEmbedder_Chamber_2SDet,38,0.000158,1
3,ExternalDetectorEmbedder_Chamber_3SDet,19,0.000156,1
3,ExternalDetectorEmbedder_Chamber_4SDet,11,0.000152,1
4,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
4,ExternalDetectorEmbedder_Chamber_1SDet,0,0,0
4,ExternalDetectorEmbedder_Chamber_2SDet,7,7.57e-05,1
4,ExternalDetectorEmbedder_Chamber_3SDet,29,0.000182,1
4,ExternalDetectorEmbedder_Chamber_4SDet,7,0.000145,1
5,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
5,ExternalDetectorEmbedder_Chamber_1SDet,0,0,0
5,ExternalDetectorEmbedder_Chamber_2SDet,16,8.82e-05,1
5,ExternalDetectorEmbedder_Chamber_3SDet,24,0.000165,1
5,ExternalDetectorEmbedder_Chamber_4SDet,28,0.000203,1
6,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
6,ExternalDetectorEmbedder_Chamber_1SDet,0,0,0
6,ExternalDetectorEmbedder_Chamber_2SDet,13,8.26e-05,1
6,ExternalDetectorEmbedder_Chamber_3SDet,24,0.000217,1
6,ExternalDetectorEmbedder_Chamber_4SDet,36,0.000254,1
7,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
7,ExternalDetectorEmbedder_Chamber_1SDet,0,0,0
7,ExternalDetectorEmbedder_Chamber_2SDet,8,8.44e-05,1
7,ExternalDetectorEmbedder_Chamber_3SDet,27,0.000188,1
7,ExternalDetectorEmbedder_Chamber_4SDet,15,0.000174,1
8,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
8,ExternalDetectorEmbedder_Chamber_1SDet,0,0,0
8,ExternalDetectorEmbedder_Chamber_2SDet,11,9.39e-05,1
8,ExternalDetectorEmbedder_Chamber_3SDet,53,0.000234,1
8,ExternalDetectorEmbedder_Chamber_4SDet,14,0.000156,1
9,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
9,ExternalDetectorEmbedder_Chamber_1SDet,0,0,0
9,ExternalDetectorEmbedder_Chamber_2SDet,9,7.77e-05,1
9,ExternalDetectorEmbedder_Chamber_3SDet,38,0.00021,1
9,ExternalDetectorEmbedder_Chamber_4SDet,5,0.000131,1
10,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
10,ExternalDetectorEmbedder_Chamber_1SDet,0,0,0
10,ExternalDetectorEmbedder_Chamber_2SDet,14,7.03e-05,1
10,ExternalDetectorEmbedder_Chamber_3SDet,15,0.00017,1
10,ExternalDetectorEmbedder_Chamber_4SDet,43,0.00025,1
